VENTAS_NETAS,CANTIDAD_TOTAL,NUMERO_FACTURAS,ULTIMA_COMPRA,DIAS_DESDE_ULTIMA_COMPRA,PUNTAJE_MONETARIO,PUNTAJE_FRECUENCIA,PUNTAJE_RECENCIA,PUNTAJE_RFM,CLASIFICACION,NOMCLI,CADENA
43613.1045,8012.0,173,2024-09-30,0,4,5,5,14,Cliente Leal,Farmacia Pablo Fruto,GRUPO Refugio Paz
27622.971,5285.0,83,2024-12-27,4,4,4,3,11,Cliente Regular,Farmacia Pablo Fruto,GRUPO Refugio Paz
55158.4604,12483.0,133,2025-03-27,4,5,4,3,12,Cliente Regular,Farmacia Pablo Fruto,GRUPO Refugio Paz
30015.9699,6573.0,106,2025-06-26,4,4,4,3,11,Cliente Regular,Farmacia Pablo Fruto,GRUPO Refugio Paz
26113.8365,5818.0,108,2025-09-24,6,4,4,3,11,Cliente Regular,Farmacia Pablo Fruto,GRUPO Refugio Paz
40341.3946,6749.0,167,2025-12-31,0,4,5,5,14,Cliente Leal,Farmacia Pablo Fruto,GRUPO Refugio Paz
6924.4321,2269.0,113,2023-03-31,0,3,4,5,12,Cliente Leal,Farmacia Ricardo Esencia,GRUPO Refugio Paz
9907.949200000001,2584.0,81,2023-06-28,2,3,4,4,11,Cliente Leal,Farmacia Ricardo Esencia,GRUPO Refugio Paz
10650.886700000001,2692.0,114,2023-09-29,1,4,4,5,13,Cliente Leal,Farmacia Ricardo Esencia,GRUPO Refugio Paz
7505.5022,2036.0,96,2023-12-27,4,3,4,3,10,Cliente Regular,Farmacia Ricardo Esencia,GRUPO Refugio Paz
5157.1982,1604.0,65,2024-03-27,4,3,3,3,9,Cliente Regular,Farmacia Ricardo Esencia,GRUPO Refugio Paz
19507.8573,7543.0,100,2024-06-26,4,4,4,3,11,Cliente Regular,Farmacia Ricardo Esencia,GRUPO Refugio Paz
28528.5142,8491.0,147,2024-09-30,0,4,4,5,13,Cliente Leal,Farmacia Ricardo Esencia,GRUPO Refugio Paz
14779.7869,3699.0,76,2024-12-27,4,4,3,3,10,Cliente Regular,Farmacia Ricardo Esencia,GRUPO Refugio Paz
32538.909,10998.0,133,2025-03-27,4,4,4,3,11,Cliente Regular,Farmacia Ricardo Esencia,GRUPO Refugio Paz
28112.216099999998,9063.0,109,2025-06-30,0,4,4,5,13,Cliente Leal,Farmacia Ricardo Esencia,GRUPO Refugio Paz
28208.2736,7096.0,115,2025-09-30,0,4,4,5,13,Cliente Leal,Farmacia Ricardo Esencia,GRUPO Refugio Paz
35269.0414,10499.0,157,2025-12-29,2,4,5,4,13,Cliente Leal,Farmacia Ricardo Esencia,GRUPO Refugio Paz
6052.5368,2280.0,97,2023-03-31,0,3,4,5,12,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
9576.106,2862.0,136,2023-06-30,0,3,4,5,12,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
10902.3139,3469.0,155,2023-09-30,0,4,5,5,14,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
15588.5588,5396.0,220,2023-12-30,1,4,5,5,14,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
15093.9269,5430.0,199,2024-03-31,0,4,5,5,14,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
13795.5269,4127.0,149,2024-06-30,0,4,4,5,13,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
18117.3998,4660.0,126,2024-09-29,1,4,4,5,13,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
20329.2189,7531.0,110,2024-12-30,1,4,4,5,13,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
18619.0672,8403.0,156,2025-03-31,0,4,5,5,14,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
18408.8921,9038.0,139,2025-06-30,0,4,4,5,13,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
8546.6679,3528.0,78,2025-09-28,2,3,3,4,10,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
8957.4887,3857.0,80,2025-12-29,2,3,3,4,10,Cliente Leal,Farmacia Sara Vergel,GRUPO Alma Hogar
6913.6463,1575.0,60,2023-03-27,4,3,3,3,9,Cliente Regular,Farmacia Belén Inspirar,(Ninguna)
6776.6772,1095.0,58,2023-06-27,3,3,3,3,9,Cliente Regular,Farmacia Belén Inspirar,(Ninguna)
7990.3293,2001.0,69,2023-09-30,0,3,3,5,11,Cliente Leal,Farmacia Belén Inspirar,(Ninguna)
9524.4355,2205.0,58,2023-12-28,3,3,3,3,9,Cliente Regular,Farmacia Belén Inspirar,(Ninguna)
12311.3505,2726.0,51,2024-03-27,4,4,3,3,10,Cliente Regular,Farmacia Belén Inspirar,(Ninguna)
1866.7334,321.0,10,2024-04-25,66,2,1,1,4,Cliente en Riesgo,Farmacia Belén Inspirar,(Ninguna)
10061.541,2417.0,26,2024-09-29,1,4,2,5,11,Cliente Leal,Farmacia Belén Inspirar,(Ninguna)
25844.8145,5009.0,73,2024-12-28,3,4,3,3,10,Cliente Regular,Farmacia Belén Inspirar,(Ninguna)
16065.8704,3928.0,43,2025-03-28,3,4,3,3,10,Cliente Regular,Farmacia Belén Inspirar,(Ninguna)
3084.3819,634.0,9,2025-04-29,62,2,1,1,4,Cliente en Riesgo,Farmacia Belén Inspirar,(Ninguna)
2939.3807,3469.0,15,2025-09-28,2,2,1,4,7,Cliente en Riesgo,Farmacia Belén Inspirar,(Ninguna)
11100.6193,2772.0,140,2023-03-30,1,4,4,5,13,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
15964.7079,2943.0,166,2023-06-28,2,4,5,4,13,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
14677.0884,2951.0,156,2023-09-28,2,4,5,4,13,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
13343.4029,2847.0,168,2023-12-26,5,4,5,3,12,Cliente Regular,Farmacia Francisco Rocío,GRUPO Gema Cuidar
13458.4683,2737.0,134,2024-03-26,5,4,4,3,11,Cliente Regular,Farmacia Francisco Rocío,GRUPO Gema Cuidar
14990.5867,2875.0,147,2024-06-28,2,4,4,4,12,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
9302.9458,1693.0,75,2024-09-27,3,3,3,3,9,Cliente Regular,Farmacia Francisco Rocío,GRUPO Gema Cuidar
17139.659,3218.0,135,2024-12-30,1,4,4,5,13,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
12169.5698,2707.0,152,2025-03-31,0,4,5,5,14,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
12553.9508,2687.0,152,2025-06-27,3,4,5,3,12,Cliente Regular,Farmacia Francisco Rocío,GRUPO Gema Cuidar
11039.675799999999,2078.0,141,2025-09-29,1,4,4,5,13,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
10738.7033,2119.0,134,2025-12-30,1,4,4,5,13,Cliente Leal,Farmacia Francisco Rocío,GRUPO Gema Cuidar
1412.4171000000001,549.0,30,2023-03-31,0,2,2,5,9,Cliente en Riesgo,Farmacia Clara Armonía,GRUPO Refugio Paz
8664.5837,2275.0,70,2023-06-30,0,3,3,5,11,Cliente Leal,Farmacia Clara Armonía,GRUPO Refugio Paz
1695.2127,587.0,39,2023-09-28,2,2,2,4,8,Cliente en Riesgo,Farmacia Clara Armonía,GRUPO Refugio Paz
1587.1242,664.0,43,2023-12-21,10,2,3,2,7,Cliente en Riesgo,Farmacia Clara Armonía,GRUPO Refugio Paz
1475.9676,731.0,26,2024-03-20,11,2,2,2,6,Cliente en Riesgo,Farmacia Clara Armonía,GRUPO Refugio Paz
8337.9696,3831.0,67,2024-06-28,2,3,3,4,10,Cliente Leal,Farmacia Clara Armonía,GRUPO Refugio Paz
13611.0923,4476.0,103,2024-09-30,0,4,4,5,13,Cliente Leal,Farmacia Clara Armonía,GRUPO Refugio Paz
8764.862,2566.0,55,2024-12-18,13,3,3,2,8,Cliente Regular,Farmacia Clara Armonía,GRUPO Refugio Paz
16842.0148,5452.0,88,2025-03-26,5,4,4,3,11,Cliente Regular,Farmacia Clara Armonía,GRUPO Refugio Paz
17914.0475,6158.0,96,2025-06-26,4,4,4,3,11,Cliente Regular,Farmacia Clara Armonía,GRUPO Refugio Paz
21361.5336,7811.0,107,2025-09-24,6,4,4,3,11,Cliente Regular,Farmacia Clara Armonía,GRUPO Refugio Paz
13568.3311,4330.0,111,2025-12-31,0,4,4,5,13,Cliente Leal,Farmacia Clara Armonía,GRUPO Refugio Paz
8468.065,2090.0,218,2023-03-31,0,3,5,5,13,Cliente Leal,,
9868.128,1900.0,186,2023-06-26,4,3,5,3,11,Cliente Regular,,
7635.1925,1665.0,180,2023-09-21,9,3,5,2,10,Cliente Regular,,
4376.857,929.0,112,2023-12-29,2,2,4,4,10,Cliente Leal,,
6253.9016,1288.0,99,2024-03-31,0,3,4,5,12,Cliente Leal,,
10945.4572,2139.0,91,2024-06-30,0,4,4,5,13,Cliente Leal,,
8856.4249,1523.0,81,2024-09-30,0,3,4,5,12,Cliente Leal,,
6753.0447,1268.0,113,2024-12-30,1,3,4,5,12,Cliente Leal,,
7597.9826,1416.0,109,2025-03-31,0,3,4,5,12,Cliente Leal,,
5511.436,899.0,112,2025-06-30,0,3,4,5,12,Cliente Leal,,
3178.4593,576.0,88,2025-09-22,8,2,4,2,8,Cliente Regular,,
8891.8646,1403.0,112,2025-12-26,5,3,4,3,10,Cliente Regular,,
316.1345,47.0,10,2023-03-13,18,1,1,2,4,Cliente en Riesgo,Farmacia Esther Bondad,GRUPO Refugio Paz
186.2669,53.0,8,2023-06-08,22,1,1,2,4,Cliente en Riesgo,Farmacia Esther Bondad,GRUPO Refugio Paz
51.639799999999994,10.0,2,2023-07-06,86,1,1,1,3,Cliente en Riesgo,Farmacia Esther Bondad,GRUPO Refugio Paz
16788.1323,5941.0,82,2024-06-25,5,4,4,3,11,Cliente Regular,Farmacia Esther Bondad,GRUPO Refugio Paz
24108.093399999998,6243.0,139,2024-09-30,0,4,4,5,13,Cliente Leal,Farmacia Esther Bondad,GRUPO Refugio Paz
26001.2049,6134.0,102,2024-12-31,0,4,4,5,13,Cliente Leal,Farmacia Esther Bondad,GRUPO Refugio Paz
44214.1949,13656.0,121,2025-03-26,5,4,4,3,11,Cliente Regular,Farmacia Esther Bondad,GRUPO Refugio Paz
26086.5529,7190.0,95,2025-06-26,4,4,4,3,11,Cliente Regular,Farmacia Esther Bondad,GRUPO Refugio Paz
42572.8008,10931.0,85,2025-09-30,0,4,4,5,13,Cliente Leal,Farmacia Esther Bondad,GRUPO Refugio Paz
53737.9171,11928.0,154,2025-12-29,2,5,5,4,14,Cliente Leal,Farmacia Esther Bondad,GRUPO Refugio Paz
10127.6996,2716.0,162,2023-03-31,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
18882.1106,4117.0,209,2023-06-30,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
12685.675,2946.0,147,2023-09-30,0,4,4,5,13,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
17757.121,4404.0,222,2023-12-31,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
14766.0298,3382.0,183,2024-03-31,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
18467.5106,4038.0,188,2024-06-28,2,4,5,4,13,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
18472.9253,3825.0,184,2024-09-30,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
20896.998,4691.0,173,2024-12-30,1,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
13099.563,3758.0,184,2025-03-31,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
15528.3602,4225.0,194,2025-06-29,1,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
14427.8713,3369.0,194,2025-09-30,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
14902.0122,3499.0,192,2025-12-31,0,4,5,5,14,Cliente Leal,Farmacia Beatriz Cuerpo,(Ninguna)
116.1716,22.0,2,2023-08-31,30,1,1,2,4,Cliente en Riesgo,Farmacia Rosa Alba,GRUPO Cielo Calma
521.2675999999999,355.0,5,2023-12-26,5,1,1,3,5,Cliente en Riesgo,Farmacia Rosa Alba,GRUPO Cielo Calma
1700.0686,1100.0,27,2024-03-30,1,2,2,5,9,Cliente en Riesgo,Farmacia Rosa Alba,GRUPO Cielo Calma
1924.3378,1380.0,33,2024-06-28,2,2,2,4,8,Cliente en Riesgo,Farmacia Rosa Alba,GRUPO Cielo Calma
1565.2752,1465.0,20,2024-09-30,0,2,1,5,8,Cliente en Riesgo,Farmacia Rosa Alba,GRUPO Cielo Calma
5169.433,2240.0,54,2024-12-30,1,3,3,5,11,Cliente Leal,Farmacia Rosa Alba,GRUPO Cielo Calma
10983.9928,4281.0,134,2025-03-31,0,4,4,5,13,Cliente Leal,Farmacia Rosa Alba,GRUPO Cielo Calma
14792.0545,4841.0,126,2025-06-30,0,4,4,5,13,Cliente Leal,Farmacia Rosa Alba,GRUPO Cielo Calma
10282.0592,2044.0,88,2025-09-30,0,4,4,5,13,Cliente Leal,Farmacia Rosa Alba,GRUPO Cielo Calma
3270.2506000000003,1823.0,37,2025-12-29,2,2,2,4,8,Cliente en Riesgo,Farmacia Rosa Alba,GRUPO Cielo Calma
3288.503,860.0,113,2023-03-31,0,2,4,5,11,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
5998.2669,1278.0,178,2023-06-28,2,3,5,4,12,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
5252.1093,1044.0,159,2023-09-30,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
5796.1195,1229.0,197,2023-12-28,3,3,5,3,11,Cliente Regular,Farmacia Rocío Resurgir,(Ninguna)
6087.0426,1270.0,192,2024-03-31,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
7554.0916,1396.0,207,2024-06-30,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
7447.9846,1227.0,205,2024-09-30,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
6686.9312,1146.0,212,2024-12-30,1,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
8218.0233,1515.0,286,2025-03-31,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
7683.5417,1512.0,249,2025-06-30,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
7399.217,1114.0,268,2025-09-30,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
6367.2951,1127.0,172,2025-12-31,0,3,5,5,13,Cliente Leal,Farmacia Rocío Resurgir,(Ninguna)
2881.9092,639.0,36,2023-03-21,10,2,2,2,6,Cliente en Riesgo,Farmacia Cristina Amanecer,GRUPO Vigor Vida
7204.2437,1058.0,75,2023-06-30,0,3,3,5,11,Cliente Leal,Farmacia Cristina Amanecer,GRUPO Vigor Vida
4834.6121,692.0,74,2023-09-30,0,2,3,5,10,Cliente Leal,Farmacia Cristina Amanecer,GRUPO Vigor Vida
7418.3047,971.0,100,2023-12-29,2,3,4,4,11,Cliente Leal,Farmacia Cristina Amanecer,GRUPO Vigor Vida
5277.948,672.0,67,2024-03-12,19,3,3,2,8,Cliente Regular,Farmacia Cristina Amanecer,GRUPO Vigor Vida
7711.5988,949.0,63,2024-06-27,3,3,3,3,9,Cliente Regular,Farmacia Cristina Amanecer,GRUPO Vigor Vida
5488.6087,599.0,57,2024-09-30,0,3,3,5,11,Cliente Leal,Farmacia Cristina Amanecer,GRUPO Vigor Vida
6937.2892,756.0,78,2024-12-30,1,3,3,5,11,Cliente Leal,Farmacia Cristina Amanecer,GRUPO Vigor Vida
12255.6566,1589.0,87,2025-03-28,3,4,4,3,11,Cliente Regular,Farmacia Cristina Amanecer,GRUPO Vigor Vida
8534.7713,1111.0,63,2025-06-30,0,3,3,5,11,Cliente Leal,Farmacia Cristina Amanecer,GRUPO Vigor Vida
10800.1863,1109.0,89,2025-09-29,1,4,4,5,13,Cliente Leal,Farmacia Cristina Amanecer,GRUPO Vigor Vida
9252.3485,779.0,90,2025-12-28,3,3,4,3,10,Cliente Regular,Farmacia Cristina Amanecer,GRUPO Vigor Vida
14747.1428,4276.0,135,2023-03-31,0,4,4,5,13,Cliente Leal,Farmacia Iker Nieve,GRUPO Armonía Cumbre
14728.1847,4633.0,122,2023-05-25,36,4,4,1,9,Cliente Regular,Farmacia Iker Nieve,GRUPO Armonía Cumbre
6544.5426,1993.0,64,2023-09-29,1,3,3,5,11,Cliente Leal,Farmacia Iker Nieve,GRUPO Armonía Cumbre
6271.8787999999995,1777.0,115,2023-11-07,54,3,4,1,8,Cliente Regular,Farmacia Iker Nieve,GRUPO Armonía Cumbre
7629.6454,1470.0,50,2024-09-30,0,3,3,5,11,Cliente Leal,Farmacia Iker Nieve,GRUPO Armonía Cumbre
11226.086,1997.0,58,2024-12-26,5,4,3,3,10,Cliente Regular,Farmacia Iker Nieve,GRUPO Armonía Cumbre
4901.2801,823.0,35,2025-03-27,4,2,2,3,7,Cliente en Riesgo,Farmacia Iker Nieve,GRUPO Armonía Cumbre
12169.074,3134.0,75,2025-06-27,3,4,3,3,10,Cliente Regular,Farmacia Iker Nieve,GRUPO Armonía Cumbre
7008.1444,1753.0,42,2025-07-31,61,3,3,1,7,Cliente Regular,Farmacia Iker Nieve,GRUPO Armonía Cumbre
1002.3228,174.0,22,2023-03-21,10,2,2,2,6,Cliente en Riesgo,,
2675.5807,364.0,34,2023-06-30,0,2,2,5,9,Cliente en Riesgo,,
645.6648,103.0,11,2023-09-06,24,1,1,2,4,Cliente en Riesgo,,
1232.8591,350.0,17,2023-12-28,3,2,1,3,6,Cliente en Riesgo,,
930.2436,151.0,16,2024-03-30,1,1,1,5,7,Cliente en Riesgo,,
5299.8306,688.0,35,2024-06-27,3,3,2,3,8,Cliente en Riesgo,,
4022.8788,794.0,44,2024-09-30,0,2,3,5,10,Cliente Leal,,
8581.045,2526.0,77,2024-12-26,5,3,3,3,9,Cliente Regular,,
8418.9292,1378.0,107,2025-03-28,3,3,4,3,10,Cliente Regular,,
9354.6932,2704.0,111,2025-06-25,5,3,4,3,10,Cliente Regular,,
8595.2934,1846.0,123,2025-09-29,1,3,4,5,12,Cliente Leal,,
7953.1003,1850.0,116,2025-12-30,1,3,4,5,12,Cliente Leal,,
2553.0772,600.0,18,2023-03-09,22,2,1,2,5,Cliente en Riesgo,Farmacia Dolores Cuerpo,GRUPO Vida Aura
2240.3111000000004,322.0,6,2023-06-29,1,2,1,5,8,Cliente en Riesgo,Farmacia Dolores Cuerpo,GRUPO Vida Aura
1371.1093,357.0,13,2023-09-22,8,2,1,2,5,Cliente en Riesgo,Farmacia Dolores Cuerpo,GRUPO Vida Aura
2766.8583,490.0,14,2023-12-15,16,2,1,2,5,Cliente en Riesgo,Farmacia Dolores Cuerpo,GRUPO Vida Aura
1343.516,191.0,10,2024-03-27,4,2,1,3,6,Cliente en Riesgo,Farmacia Dolores Cuerpo,GRUPO Vida Aura
18422.2975,2744.0,32,2024-06-28,2,4,2,4,10,Cliente Regular,Farmacia Dolores Cuerpo,GRUPO Vida Aura
19359.2014,3761.0,37,2024-09-30,0,4,2,5,11,Cliente Leal,Farmacia Dolores Cuerpo,GRUPO Vida Aura
3941.4353,608.0,20,2024-12-23,8,2,1,2,5,Cliente en Riesgo,Farmacia Dolores Cuerpo,GRUPO Vida Aura
19460.5337,10405.0,42,2025-03-28,3,4,3,3,10,Cliente Regular,Farmacia Dolores Cuerpo,GRUPO Vida Aura
6476.3105,1421.0,40,2025-06-25,5,3,2,3,8,Cliente en Riesgo,Farmacia Dolores Cuerpo,GRUPO Vida Aura
18651.2733,2184.0,52,2025-09-30,0,4,3,5,12,Cliente Leal,Farmacia Dolores Cuerpo,GRUPO Vida Aura
21769.747499999998,6906.0,71,2025-12-28,3,4,3,3,10,Cliente Regular,Farmacia Dolores Cuerpo,GRUPO Vida Aura
3.028,2.0,1,2023-03-23,8,1,1,2,4,Cliente en Riesgo,Farmacia Diego Amanecer,GRUPO Refugio Paz
12428.9339,2739.0,87,2023-06-30,0,4,4,5,13,Cliente Leal,Farmacia Diego Amanecer,GRUPO Refugio Paz
7188.6839,1595.0,74,2023-09-29,1,3,3,5,11,Cliente Leal,Farmacia Diego Amanecer,GRUPO Refugio Paz
8559.419,1667.0,131,2023-12-28,3,3,4,3,10,Cliente Regular,Farmacia Diego Amanecer,GRUPO Refugio Paz
9210.5502,1550.0,78,2024-03-26,5,3,3,3,9,Cliente Regular,Farmacia Diego Amanecer,GRUPO Refugio Paz
44639.7736,13420.0,111,2024-06-26,4,4,4,3,11,Cliente Regular,Farmacia Diego Amanecer,GRUPO Refugio Paz
46506.7589,8794.0,147,2024-09-30,0,4,4,5,13,Cliente Leal,Farmacia Diego Amanecer,GRUPO Refugio Paz
29100.3584,5701.0,81,2024-12-27,4,4,4,3,11,Cliente Regular,Farmacia Diego Amanecer,GRUPO Refugio Paz
46876.3297,11266.0,94,2025-03-26,5,4,4,3,11,Cliente Regular,Farmacia Diego Amanecer,GRUPO Refugio Paz
25077.8685,5764.0,77,2025-06-26,4,4,3,3,10,Cliente Regular,Farmacia Diego Amanecer,GRUPO Refugio Paz
46616.9517,10017.0,99,2025-09-24,6,4,4,3,11,Cliente Regular,Farmacia Diego Amanecer,GRUPO Refugio Paz
45602.6,8450.0,140,2025-12-29,2,4,4,4,12,Cliente Leal,Farmacia Diego Amanecer,GRUPO Refugio Paz
4159.7782,1179.0,52,2023-03-31,0,2,3,5,10,Cliente Leal,Farmacia Begoña Vida,GRUPO Unión Espuma
3361.7897,739.0,33,2023-06-26,4,2,2,3,7,Cliente en Riesgo,Farmacia Begoña Vida,GRUPO Unión Espuma
2181.9656999999997,761.0,22,2023-09-25,5,2,2,3,7,Cliente en Riesgo,Farmacia Begoña Vida,GRUPO Unión Espuma
2143.6111,458.0,21,2023-12-27,4,2,2,3,7,Cliente en Riesgo,Farmacia Begoña Vida,GRUPO Unión Espuma
5170.4076000000005,1172.0,36,2024-03-22,9,3,2,2,7,Cliente en Riesgo,Farmacia Begoña Vida,GRUPO Unión Espuma
1012.3297,265.0,9,2024-05-29,32,2,1,1,4,Cliente en Riesgo,Farmacia Begoña Vida,GRUPO Unión Espuma
1820.1227000000001,1292.0,14,2024-09-30,0,2,1,5,8,Cliente en Riesgo,Farmacia Begoña Vida,GRUPO Unión Espuma
12369.6089,2697.0,50,2024-12-28,3,4,3,3,10,Cliente Regular,Farmacia Begoña Vida,GRUPO Unión Espuma
34315.7951,9420.0,158,2025-03-31,0,4,5,5,14,Cliente Leal,Farmacia Begoña Vida,GRUPO Unión Espuma
46335.0978,14729.0,166,2025-06-27,3,4,5,3,12,Cliente Regular,Farmacia Begoña Vida,GRUPO Unión Espuma
35631.5162,12347.0,131,2025-09-30,0,4,4,5,13,Cliente Leal,Farmacia Begoña Vida,GRUPO Unión Espuma
48828.178,13595.0,160,2025-12-30,1,4,5,5,14,Cliente Leal,Farmacia Begoña Vida,GRUPO Unión Espuma
2736.6221,717.0,49,2023-03-30,1,2,3,5,10,Cliente Leal,Farmacia Mario Velo,(Ninguna)
2836.5006,528.0,53,2023-06-26,4,2,3,3,8,Cliente en Riesgo,Farmacia Mario Velo,(Ninguna)
3639.0398999999998,767.0,71,2023-09-29,1,2,3,5,10,Cliente Leal,Farmacia Mario Velo,(Ninguna)
1530.5336,348.0,25,2023-12-29,2,2,2,4,8,Cliente en Riesgo,Farmacia Mario Velo,(Ninguna)
4433.6652,1377.0,78,2024-03-27,4,2,3,3,8,Cliente en Riesgo,Farmacia Mario Velo,(Ninguna)
4725.8915,1101.0,75,2024-06-30,0,2,3,5,10,Cliente Leal,Farmacia Mario Velo,(Ninguna)
4581.8579,1377.0,62,2024-09-29,1,2,3,5,10,Cliente Leal,Farmacia Mario Velo,(Ninguna)
5512.9119,1728.0,79,2024-12-27,4,3,3,3,9,Cliente Regular,Farmacia Mario Velo,(Ninguna)
5728.8827,1748.0,95,2025-03-31,0,3,4,5,12,Cliente Leal,Farmacia Mario Velo,(Ninguna)
6131.2248,1644.0,111,2025-06-30,0,3,4,5,12,Cliente Leal,Farmacia Mario Velo,(Ninguna)
5566.1991,1299.0,97,2025-09-30,0,3,4,5,12,Cliente Leal,Farmacia Mario Velo,(Ninguna)
7475.1524,1435.0,132,2025-12-29,2,3,4,4,11,Cliente Leal,Farmacia Mario Velo,(Ninguna)
18221.9939,5149.0,174,2023-03-31,0,4,5,5,14,Cliente Leal,Farmacia Diego Fé,GRUPO Armonía Cumbre
